row,exploit,attack_vector,public_status,user_interaction,Utility
1,active,N,None,N,effortless
2,active,None,None,None,complex
3,active,N,private,N,laborious
4,active,N,public,N,effortless
5,active,N,public,R,complex
6,active,N,public_restricted,N,effortless
7,active,N,public_restricted,R,complex
8,None,N,None,N,complex
9,None,N,private,N,laborious
10,None,N,private,R,laborious
11,None,L,private,N,laborious
12,None,L,private,R,laborious
13,PoC,None,None,None,laborious
14,PoC,N,public,N,effortless
15,PoC,N,public,R,complex
16,PoC,N,Public,N,complex
17,PoC,N,public_restricted,N,effortless
18,PoC,N,public_restricted,R,complex
19,PoC,N,public_restricted,N,complex
20,PoC,None,public,None,complex
21,PoC,None,public_restricted,None,complex
22,PoC,None,private,None,effortless
